report_id,timestamp_bkk,date_bkk,time_bkk,latitude,longitude,location_accuracy_m,image_count,risk_color,risk_level_th,risk_score,dog_count,dog_count_description,observed_behavior,visible_risk_factors,recommendation,confidence,image_quality,needs_human_review,model
DOG-20260804-060121-C6C65B,2026-08-04T06:01:21+07:00,2026-08-04,06:01:21,14.0190500,99.9758600,3.8,3,yellow,สีเหลือง,2,3,มีสุนัขประมาณสามตัว,สุนัขนอนอยู่บริเวณใกล้กับทางเดินและถนน,สุนัขจำนวนมากในบริเวณทางเดินและถนน อาจมีการเคลื่อนไหวที่ไม่ชัดเจน,ควรเดินหลีกเลี่ยง รักษาระยะห่าง ไม่วิ่ง,medium,partly_clear,True,gpt-4.1-mini
DOG-20260804-064348-742964,2026-08-04T06:43:48+07:00,2026-08-04,06:43:48,14.0194417,99.9750333,11.9,1,yellow,สีเหลือง,2,6,มีสุนัข 6 ตัวอยู่รวมกันบริเวณข้างทาง,นอนและยืนนิ่งใกล้ทางเดิน ขณะจ้องไปยังรถ,สุนัขหลายตัวใกล้ทางเดินและที่ที่คนสัญจร,ควรระมัดระวังเมื่อผ่าน ควรเดินหรือขับผ่านช้า รักษาระยะและไม่วิ่ง,high,clear,False,gpt-4.1-mini
DOG-20260804-174119-C330B4,2026-08-04T17:41:19+07:00,2026-08-04,17:41:19,14.0280667,99.9790317,6.6,1,yellow,สีเหลือง,2,1,สุนัข 1 ตัวอยู่กลางถนน,สุนัขอยู่กลางถนน ไม่เห็นมีท่าทางคุกคามชัดเจน,สุนัขอยู่กลางถนนใกล้ทางเดินและยานพาหนะ มีความเสี่ยงจากการสัญจร,ให้เปลี่ยนเส้นทางและรักษาระยะห่างจากสุนัข,medium,clear,False,gpt-4.1-mini
DOG-20260806-051356-0E37B4,2026-08-06T05:13:56+07:00,2026-08-06,05:13:56,14.0148500,99.9749517,22.9,1,green,สีเขียว,1,1,มีสุนัขตัวเดียวในภาพ,สุนัขนอนสงบอยู่บนพื้น,สุนัขอยู่ห่างจากทางเดินและไม่มีท่าทีคุกคาม,รักษาระยะห่างและไม่เข้าใกล้สุนัข,medium,partly_clear,False,gpt-4.1-mini
DOG-20260806-055143-D2C1C1,2026-08-06T05:51:43+07:00,2026-08-06,05:51:43,14.0196581,99.9758622,32.3,1,green,สีเขียว,1,1,สุนัขตัวเดียวที่เห็นในภาพ,สุนัขเดินช้าๆ เหมือนกำลังเล็มหญ้าหรือจมูกติดพื้น,สุนัขอยู่ห่างจากทางเดินและไม่มีท่าทางคุกคาม,รักษาระยะและไม่เข้าใกล้สุนัข,medium,partly_clear,False,gpt-4.1-mini
DOG-20260807-054820-CAADB7,2026-08-07T05:48:20+07:00,2026-08-07,05:48:20,14.0225672,99.9786665,49.4,1,yellow,สีเหลือง,2,0,ไม่พบสุนัขในภาพ,ไม่พบสุนัขในภาพเพื่อประเมินพฤติกรรม,ไม่มีสุนัขในพื้นที่มองเห็น,ยังต้องระมัดระวังและสังเกตพื้นที่รอบตัว,medium,partly_clear,True,gpt-4.1-mini
DOG-20260807-055437-31EE81,2026-08-07T05:54:37+07:00,2026-08-07,05:54:37,14.0182048,99.9757817,20.5,1,yellow,สีเหลือง,2,0,ไม่พบสุนัขในภาพ,ไม่มีสุนัขปรากฏในภาพ,ภาพไม่พบสุนัข แต่ไม่ชัดเจนอาจมีสุนัขในพื้นที่,ระมัดระวัง ดูรอบตัว เปลี่ยนเส้นทางหากจำเป็น,medium,partly_clear,True,gpt-4.1-mini
DOG-20260811-053849-791827,2026-08-11T05:38:49+07:00,2026-08-11,05:38:49,14.0193167,99.9759917,2.8,1,green,สีเขียว,1,1,พบสุนัข 1 ตัว,สุนัขนั่งสงบกลางถนน ไม่มีท่าทางคุกคาม,สุนัขอยู่ห่างจากบริเวณทางเดินหลัก และไม่แสดงพฤติกรรมตื่นตัว,รักษาระยะห่างจากสุนัขและไม่เข้าใกล้โดยไม่จำเป็น,medium,partly_clear,False,gpt-4.1-mini
DOG-20260818-054751-B87D8E,2026-08-18T05:47:51+07:00,2026-08-18,05:47:51,14.0231000,99.9802833,15.4,2,yellow,สีเหลือง,2,1,พบสุนัขหนึ่งตัวในภาพที่สอง แต่ภาพค่อนข้างมืดและไม่ชัดเจน,สุนัขอยู่ห่างจากทางเดินและไม่แสดงท่าทางคุกคามชัดเจน,สุนัขอยู่ในพื้นที่ใกล้ทางเดินแต่ไม่ชัดเจนในพฤติกรรม,ควรระวังและรักษาระยะ ไม่วิ่งเข้าใกล้,medium,partly_clear,True,gpt-4.1-mini
DOG-20260818-054902-EB9999,2026-08-18T05:49:02+07:00,2026-08-18,05:49:02,14.0218140,99.9804678,77.4,2,yellow,สีเหลือง,2,4,พบสุนัข 4 ตัวในพื้นที่ใกล้ทางเดิน,สุนัขนอนสงบและมีสุนัขยืนตัวหนึ่งแต่ไม่มีท่าทางคุกคามชัดเจน,สุนัขอยู่ใกล้ทางเดินและมีหลายตัว,รักษาระยะห่างและไม่เดินเข้าใกล้ ควรเปลี่ยนเส้นทางหากเป็นไปได้,medium,partly_clear,False,gpt-4.1-mini
DOG-20260818-055258-64CDF6,2026-08-18T05:52:58+07:00,2026-08-18,05:52:58,14.0235017,99.9758800,4.4,2,yellow,สีเหลือง,2,3,มีสุนัขจำนวนสามตัวในภาพ,สุนัขนอนอยู่บนทางเดิน ใกล้พื้นที่คนสัญจร,สุนัขหลายตัวและอยู่ใกล้ทางเดิน,ควรเปลี่ยนเส้นทาง รักษาระยะ และไม่วิ่ง,medium,partly_clear,False,gpt-4.1-mini
DOG-20260818-055650-950D3C,2026-08-18T05:56:50+07:00,2026-08-18,05:56:50,14.0196217,99.9756583,4.8,1,green,สีเขียว,1,3,มีสุนัขสามตัวในภาพ,สุนัขนอนสงบอยู่บนพื้น ไม่มีท่าทางคุกคาม,สุนัขอยู่ห่างจากทางเดิน ไม่มีท่าทีเห่า หรือวิ่งไล่,รักษาระยะห่างและไม่ควรเข้าใกล้,medium,partly_clear,False,gpt-4.1-mini
DOG-20260819-052047-304289,2026-08-19T05:20:47+07:00,2026-08-19,05:20:47,14.0150300,99.9749617,19.0,2,yellow,สีเหลือง,2,3,เห็นสุนัข 3 ตัว นอนอยู่บนทางเดินใกล้ประตู,สุนัขนอนนิ่ง ไม่มีท่าทางคุกคามชัดเจน,สุนัขอยู่บนทางเดินและใกล้พื้นที่สัญจร มีแสงไฟจ้าอาจทำให้มองเห็นได้ไม่ชัดเจน,รักษาระยะห่างและหลีกเลี่ยงทางเดินนี้หากเป็นไปได้,medium,partly_clear,True,gpt-4.1-mini
DOG-20260819-055333-EC6D2E,2026-08-19T05:53:33+07:00,2026-08-19,05:53:33,14.0195250,99.9759333,4.1,3,yellow,สีเหลือง,2,1,สุนัขตัวเดียวเห็นในภาพหลายมุม,สุนัขเดินผ่านถนนและยืนใกล้บริเวณทางเดิน,"สุนัขอยู่ใกล้ทางเดินและถนน, ภาพไม่ชัดเจน ตำแหน่งพิกัดสุนัขมีความใกล้กับพื้นที่คนสัญจร",รักษาระยะ ไม่เข้าใกล้ สังเกตท่าที ควรเปลี่ยนเส้นทางหากเป็นไปได้,medium,partly_clear,True,gpt-4.1-mini
DOG-20260820-054929-AB8E93,2026-08-20T05:49:29+07:00,2026-08-20,05:49:29,14.0199407,99.9757088,18.1,3,yellow,สีเหลือง,2,6,พบสุนัขกลุ่มใหญ่ 6 ตัว,สุนัขนอนรวมกลุ่ม และยืนมองรอบทิศทาง,สุนัขอยู่ใกล้ทางเดินและถนน เป็นกลุ่มหลายตัว ท่าทีตื่นตัวเล็กน้อย,ควรเดินผ่านโดยระมัดระวัง รักษาระยะห่างและไม่วิ่ง,medium,partly_clear,True,gpt-4.1-mini
DOG-20260821-053351-A8AD1D,2026-08-21T05:33:51+07:00,2026-08-21,05:33:51,14.0233667,99.9805233,4.1,2,yellow,สีเหลือง,2,4,มีสุนัขทั้งหมดสี่ตัวที่นอนอยู่ข้างทางเดิน,สุนัขนอนสงบ ไม่มีท่าทางคุกคาม,สุนัขอยู่ใกล้ทางเดินและอยู่เป็นกลุ่มหลายตัว,ควรรักษาระยะและไม่เข้าใกล้สุนัข กลับหรือเปลี่ยนเส้นทางได้ถ้ารู้สึกไม่ปลอดภัย,medium,clear,False,gpt-4.1-mini
DOG-20260821-054030-932293,2026-08-21T05:40:30+07:00,2026-08-21,05:40:30,14.0188433,99.9759200,9.3,1,green,สีเขียว,1,3,สุนัขสามตัวนอนในพื้นที่ห่างจากทางเดิน,สุนัขนอนสงบ ไม่มีท่าทางคุกคาม,สุนัขอยู่ห่างจากเส้นทางคนเดิน ไม่มีการวิ่งเข้าหาหรือเห่า,รักษาระยะห่างและเดินผ่านอย่างระมัดระวัง,medium,partly_clear,False,gpt-4.1-mini
DOG-20260827-180404-DCB0C3,2026-08-27T18:04:04+07:00,2026-08-27,18:04:04,14.0283817,99.9779006,6.8,2,green,สีเขียว,1,2,มีสุนัข 2 ตัว ปรากฏในภาพทั้งสอง,สุนัขเดินโดยปกติ ไม่มีท่าทางตื่นตัวหรือคุกคาม,สุนัขอยู่ห่างจากทางเดินและไม่มีท่าทางคุกคาม,รักษาระยะห่างจากสุนัขและไม่เข้าใกล้,high,clear,False,gpt-4.1-mini
